Ruta,Tractocamión,Prob_vacio
WM CEDIS CHALCO/MEAD JOHNSON,T675,0.5084189965748017
"LA MADRILEÑA, SAN JUAN DEL RIO/WM CEDIS LA LUZ",T614,0.5216691389916093
"QUERETARO/MERIDA, YUCATAN",T522,0.5008372637663261
"LA MADRILEÑA, SAN JUAN DEL RIO/CEDIS WALMART CHALCO",T596,0.5086029761003417
"LA MADRILEÑA, SAN JUAN DEL RIO/BODEGA LOS REYES",T714,0.5010094319714651
SMURFFIT KAPPA/HENKEL,T568,0.5120923432247175
"LA MADRILEÑA, SAN JUAN DEL RIO/TOLCAYUCA, HIDALGO",T717,0.5156135248892886
PENSION SALINAS CRUZ/BODEGA AURRERA PUERTO ESCONDIDO,T441,0.538071424288597
"PROPIMEX COATEPEC/CHEP, PUEBLA",T475,0.5014236524572411
KIMBERLY TEPOTZOTLAN/WM CEDIS CHALCO,T428,0.5207681503604185
PROPIMEX TUXTLA/CEDIS CHEP SMO,T699,0.5017850656903218
WM CEDIS CHALCO/WM CUEMANCO,T692,0.5236715382615192
WM CEDIS CHALCO/BKHL COMPANIA PROCTER VALLEJO,T421,0.5149948754085358
MEAD JOHNSON/WM CEDIS CHALCO,T637,0.5169120642881107
WM CEDIS CHALCO/SAMS CLUB HIPERPLAZA TEXCOCO,T427,0.5161781185101517
"LA MADRILEÑA, SAN JUAN DEL RIO/CHEDRAUI, TEOLOYUCAN",T477,0.5022679903680113
PENSION SALINAS CRUZ/EMBOTELLADORA NIAGARA DE MEXICO,T454,0.5052525577382588
WM CEDIS CHALCO/BODEGA PLAN DE AYALA,T674,0.5194363020083357
SAMS CLUB COATZACOALCOS/CEDIS PERECEDEROS VHS,T605,0.5405766670839636
"LA MADRILEÑA, SAN JUAN DEL RIO/CEDIS WM CHALCO",T683,0.5024232116795626
BKHL COMPANIA PROCTER VALLEJO/BKHL COMPANIA PROCTER VALLEJO,T440,0.5120381080118656
CEDIS JDV CONVENTO/PROPIMEX COATEPEC,T682,0.5027476470231981
OMNIGREEN/EMBOTELLADORA NIAGARA DE MEXICO,T567,0.5159675080361399
WM CEDIS CHALCO/SAMS CLUB ZARAGOZA,T735,0.5215574785524492
WM CEDIS CHALCO/WM PATIO HUB PUEBLA,T720,0.5179774758161472
"LA MADRILEÑA, SAN JUAN DEL RIO/IZTAPALAPA, DISTRITO FEDERAL",T683,0.5031545648017335
BODEGA NICOLAS BRAVO/FABRICA DE JABON LA CORONA,T726,0.5033385569308835
BODEGA CUAUTLA 2/INDUSTRIAS BERNAL CANTON,T721,0.5203315923772301
DISTRIBUIDORA LIMBELL/WM CEDIS CHALCO,T726,0.5033385569308835
WM CEDIS CHALCO/DISTRIBUIDORA LIMBELL,T726,0.5033385569308835
WM UNIVERSIDAD/WM CEDIS CHALCO,T727,0.5214856456499921
SMURFFIT KAPPA/MATTEL DE MEXICO,T572,0.5077038351468353
WM CEDIS CULIACAN/WM CEDIS MEGAPARK,T505,0.505115378674281
BODEGA AURRERA TALLERES/WM CEDIS MID TEYA,T570,0.5035482050721758
CEDIS FRIALSA CULIACAN/CEDIS WM MTY - LAREDO,T548,0.5055162938335219
WM CEDIS CHALCO/KIMBERLY TEPOTZOTLAN,T737,0.5159254270164976
PENSION SALINAS CRUZ/BODEGA AURRERA IXTEPEC,T375,0.5458093164045222
WM CEDIS CHALCO/BKHL COMPANIA PROCTER SMO,T415,0.5145970932180847
CEDIS JDV LAGOS DE MORENO/DIST ARCACONTAL ZAPOPAN,T701,0.5042952271804646
WM TLAHUAC/WM CEDIS CHALCO,T681,0.5176217850251486
PLANTA JDV LAGOS DE MORENO/DIST ARCACONTAL COLIMA,T703,0.5044203593734128
HENKEL/WM CEDIS MID TEYA,T563,0.5234277017528117
BKHL BONAFONT/WM CEDIS MID TEYA,T543,0.5045063359832724
